"DEAL","TAG","POSITION_SC_DATE_ADJUSTED","FUND_NAME","STRATEGY","SUB_STRATEGY","ACTIVE_HEDGE","BOOK_NAME","CASH_BALANCE","GL_NAV_FOR_BOOK","GL_NAV","DAILY_PNL","MTD_PNL","YTD_PNL","ITD_PNL"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","MLNK_Overnight FO","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","KNTK_Overnight FO 2","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","R3NK GY_IPO","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","WDC_ Marketed FO_Convert","8717.48","8717.48","90233793.71","0.00","0.00","0.00","8717.48"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","NKLA_Marketed FO_Convert","-41370.70","-41370.70","90233793.71","0.00","0.00","0.00","-41370.70"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","VTMX_Marketed FO","4385.71","4385.71","90233793.71","0.00","0.00","0.00","4385.71"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Operating ","Cash","Missing Active Hedge","Capital","","2641.96","732012.49","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","GEHC_Overnight FO","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","IRTC_Marketed FO_Convert","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","NUVL_Marketed FO","-25775.74","-25775.74","90233793.71","0.00","0.00","0.00","-25775.74"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Operating ","Cash","Missing Active Hedge","Cash","0.00","","732012.49","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Operating ","Cash","Missing Active Hedge","Capital","-32131071.00","-32240673.32","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","PCG_Marketed FO_Convert","-802020.99","23490.43","90233793.71","1707.33","-27419.87","-27419.87","23490.43"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","AVBP_IPO","22759.58","22759.58","90233793.71","0.00","22759.58","22759.58","22759.58"
"ECM","IPO","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","IPO","Missing Active Hedge","BTSG_IPO","-312408.16","-62556.64","90233793.71","-4768.69","-62556.64","-62556.64","-62556.64"
"N/A","SRT","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Asset-Based Capital Solutions","SRT","Active","Alpha_Active","","80570068.59","90233793.71","931643.34","931643.34","931643.34","1065386.59"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Operating ","Cash","Missing Active Hedge","Cash","11500000.00","12000000.00","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","EYPT_Marketed FO","32383.23","32383.23","90233793.71","0.00","4820.07","4820.07","32383.23"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Operating ","Cash","Missing Active Hedge","Financing","-114888.50","28098.21","90233793.71","163.94","425.66","425.66","28098.21"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","SYM_Overnight FO","","","90233793.71","0.00","0.00","0.00","0.00"
"N/A","Cash","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Cash","Missing Active Hedge","Cash","-12000000.00","-12000000.00","90233793.71","0.00","0.00","0.00","0.00"
"N/A","Subline","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Operating ","Subline","Missing Active Hedge","Funded","25300000.00","-203085.07","90233793.71","-8583.88","-170152.26","-170152.26","-203085.07"
"N/A","Subline","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings I Fund LP","Operating ","Subline","Missing Active Hedge","Unfunded","","-34451.28","732012.49","-796.22","-24682.67","-24682.67","-34451.28"
"N/A","N/A","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","","","","","","","90233793.71","0.00","0.00","0.00","0.00"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","BBIO_Marketed FO","","","90233793.71","0.00","0.00","0.00","0.00"
"N/A","Subline","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Operating ","Subline","Missing Active Hedge","Unfunded","","-34451.28","90233793.71","-796.22","-24682.67","-24682.67","-34451.28"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","SPR_ Marketed FO_Convert","-244121.47","145627.06","90233793.71","6198.04","22892.31","22892.31","145627.06"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Overnight Follow-On","Missing Active Hedge","ALXO_Overnight FO","726.36","726.36","90233793.71","0.00","0.00","0.00","726.36"
"ECM","Follow-On","1/31/2024","Alternative Fund Opportunistic Alternative Solutions Holdings II Fund LP","Capital Market Solutions","Marketed Follow-On","Missing Active Hedge","CPK_Marketed FO","5980.98","5980.98","90233793.71","0.00","0.00","0.00","5980.98"
"N/A","Cash","1/31/2024","Alternative Fund Gamma Holdings I LP","Operating ","Cash","Missing Active Hedge","Expenses","-324978.26","-413824.75","-421037.74","-166842.20","-166842.20","-166842.20","-413824.75"
"N/A","Cash","1/31/2024","Alternative Fund Gamma Holdings I LP","Operating ","Cash","Missing Active Hedge","Cash","324978.25","","-421037.74","0.00","0.00","0.00","0.00"
